site,council,beachbugs
Clovelly Beach,Randwick Council,19
Clovelly Beach,Randwick Council,3
Clovelly Beach,Randwick Council,2
Clovelly Beach,Randwick Council,13
Clovelly Beach,Randwick Council,8
Clovelly Beach,Randwick Council,7
Clovelly Beach,Randwick Council,11
Clovelly Beach,Randwick Council,97
Clovelly Beach,Randwick Council,3
Clovelly Beach,Randwick Council,0
Clovelly Beach,Randwick Council,6
Clovelly Beach,Randwick Council,0
Clovelly Beach,Randwick Council,1
Clovelly Beach,Randwick Council,8
Clovelly Beach,Randwick Council,3
Clovelly Beach,Randwick Council,5
Clovelly Beach,Randwick Council,0
Clovelly Beach,Randwick Council,8
Clovelly Beach,Randwick Council,2
Clovelly Beach,Randwick Council,35
Clovelly Beach,Randwick Council,2
Clovelly Beach,Randwick Council,2
Clovelly Beach,Randwick Council,57
Clovelly Beach,Randwick Council,39
Clovelly Beach,Randwick Council,0
Clovelly Beach,Randwick Council,0
Clovelly Beach,Randwick Council,0
Clovelly Beach,Randwick Council,9
Clovelly Beach,Randwick Council,20
Clovelly Beach,Randwick Council,0
Clovelly Beach,Randwick Council,0
Clovelly Beach,Randwick Council,28
Clovelly Beach,Randwick Council,0
Clovelly Beach,Randwick Council,3
Clovelly Beach,Randwick Council,9
Clovelly Beach,Randwick Council,15
Clovelly Beach,Randwick Council,50
Clovelly Beach,Randwick Council,1
Clovelly Beach,Randwick Council,1
Clovelly Beach,Randwick Council,0
Clovelly Beach,Randwick Council,0
Clovelly Beach,Randwick Council,0
Clovelly Beach,Randwick Council,0
Clovelly Beach,Randwick Council,0
Clovelly Beach,Randwick Council,1
Clovelly Beach,Randwick Council,1
Clovelly Beach,Randwick Council,6
Clovelly Beach,Randwick Council,34
Clovelly Beach,Randwick Council,5
Clovelly Beach,Randwick Council,0
Clovelly Beach,Randwick Council,1
Clovelly Beach,Randwick Council,3
Clovelly Beach,Randwick Council,3
Clovelly Beach,Randwick Council,2
Clovelly Beach,Randwick Council,1
Clovelly Beach,Randwick Council,1
Clovelly Beach,Randwick Council,1
Clovelly Beach,Randwick Council,12
Coogee Beach,Randwick Council,11
Coogee Beach,Randwick Council,0
Coogee Beach,Randwick Council,4
Coogee Beach,Randwick Council,30
Coogee Beach,Randwick Council,8
Coogee Beach,Randwick Council,0
Coogee Beach,Randwick Council,18
Coogee Beach,Randwick Council,290
Coogee Beach,Randwick Council,3
Coogee Beach,Randwick Council,5
Coogee Beach,Randwick Council,2
Coogee Beach,Randwick Council,94
Coogee Beach,Randwick Council,3
Coogee Beach,Randwick Council,2
Coogee Beach,Randwick Council,4
Coogee Beach,Randwick Council,0
Coogee Beach,Randwick Council,26
Coogee Beach,Randwick Council,0
Coogee Beach,Randwick Council,0
Coogee Beach,Randwick Council,2
Coogee Beach,Randwick Council,34
Coogee Beach,Randwick Council,2
Coogee Beach,Randwick Council,20
Coogee Beach,Randwick Council,270
Coogee Beach,Randwick Council,35
Coogee Beach,Randwick Council,17
Coogee Beach,Randwick Council,6
Coogee Beach,Randwick Council,2
Coogee Beach,Randwick Council,7
